Math Score,Reading Score,Writing Score,Placement Score,Club Join Year,Placement,Offer Count
95,81,93,85,96,98,99
83,79,64,97,79,66,97
100,96,70,86,99,84,69
88,83,100,81,62,79,79
73,72,96,62,85,64,64
63,76,84,100,92,83,74
72,87,99,94,99,72,68
90,75,91,66,67,88,86
97,79,74,77,84,90,91
74,60,77,70,77,81,69
77,65,61,90,61,60,67
75,94,88,91,63,90,71
85,79,63,93,61,99,80
80,79,100,71,75,76,95
81,81,88,61,90,91,84
80,64,98,100,90,69,96
66,85,94,84,83,60,62
99,80,75,93,67,72,76
85,87,81,99,96,63,73
76,99,89,84,66,97,87
